MAP_PAR_ID,Full Address,total_value,est_annual_tax,rev_per_acre,acres,Landuse Description,unit_count,tax_exempt,is_water
001.0-0001-0001.0,102-106 MASS AVE,877700.0,9452.829,143435.5000754594,0.06590299469118174,325  - Store,1,False,False
001.0-0001-0002.0,98-100 MASS AVE,1356900.0,14613.813,126913.57549224452,0.11514775266017957,111  - Apts. 4-8,1,False,False
001.0-0001-0003.A,94 MASS AVE,942100.0,10146.417,74486.32653433413,0.13621851784197003,332  - Auto Repair,1,False,False
001.0-0001-0004.A,5 THORNDIKE ST #1 | 5 THORNDIKE ST #2,1668100.0,17965.437,157516.65603570905,0.11405420513705697,102  - Condo,2,False,False
001.0-0001-0005.0,7-9 THORNDIKE ST,1225900.0,13202.943,121702.26721570783,0.10848559605384184,104  - Two Family,1,False,False
001.0-0001-0006.0,11-13 THORNDIKE ST,1172600.0,12628.902,110926.44023883791,0.1138493399121838,104  - Two Family,1,False,False
001.0-0001-0007.0,17 THORNDIKE ST | 15 THORNDIKE ST,1658100.0,17857.737,199964.7840268045,0.08930440970849268,102  - Condo,2,False,False
001.0-0001-0008.0,21 THORNDIKE ST | 19 THORNDIKE ST,1104000.0,11890.08,134023.3924365693,0.0887164530298496,102  - Condo,2,False,False
001.0-0001-0009.0,23-25 THORNDIKE ST,1143300.0,12313.341,94124.35227219119,0.13081992813498433,104  - Two Family,1,False,False
001.0-0001-0010.0,27-29 THORNDIKE ST,1045200.0,11256.804,118468.22063873673,0.09501960896607956,104  - Two Family,1,False,False
001.0-0001-0011.0,31-33 THORNDIKE ST,1094800.0,11790.996,123447.73311218845,0.09551407468361062,104  - Two Family,1,False,False
001.0-0001-0012.0,35-37 THORNDIKE ST,1047900.0,11285.883,121022.45625830548,0.09325445333808019,104  - Two Family,1,False,False
001.0-0001-0013.0,39-41 THORNDIKE ST,1159500.0,12487.815,112269.47431925818,0.11123072478711962,105  - Three Fam.,1,False,False
001.0-0001-0014.0,43 THORNDIKE ST,1242000.0,13376.34,145551.28085813634,0.09190121805274558,101  - One Family,1,False,False
001.0-0001-0015.0,47-49 THORNDIKE ST,1036000.0,11157.72,121585.34752360787,0.0917686236644061,104  - Two Family,1,False,False
